abbreviation	aliases	name_uk	name_uk_synonym	name_en	iso_code	wiktionary_code
мікен.		мікенська грецька		Mycenaean Greek	gmy	gmy
мокш.	морд.-мокш.	мокшанська		Moksha	mdf	mdf
молд.		молдавська		Moldovan	mo	ro
монг.		монгольська		Mongolian	mn	mn
мор.	морав.	моравська		Moravian		cs
мор.-слц.		моравсько-словацька		Moravian-Slovak		cs
мор.-цсл.		моравсько-церковнослов’янська		Moravian recension of Church Slavonic		
морд.		мордовська		Mordvinic		urj-mdv-pro
нан.	нанайськ.	нанайська		Nanai	gld	gld
нар.-ар.		народноарабська		Vulgar Arabic?		ar
нар.-лат.		народнолатинська		Vulgar Latin		la
нган.		нганасанська		Nganasan	nio	nio
неапол.		неаполітанська		Neapolitan	nap	nap
невизн.		невизначена		undetermined	und	und
нен.		ненецька		Nenets	yrk	yrk
нл.		нижньолужицька		Lower Sorbian	dsb	dsb
нн.	ннім., ннн.	нижньонімецька		Low German		nds
нижньофранк.		нижньофранкська		Low Franconian		
н.	нім.	німецька		German	de	de
нвн.		нововерхньонімецька		New High German		de
нгр.		новогрецька		Modern Greek	el	el
нлат.	новолат.	новолатинська		New Latin		la
ног.		ногайська		Nogai	nog	nog
норв.		норвезька		Norwegian	no	no
нормандськ.		нормандська		Norman	nrf	nrf
огуз.		огузька		Oghuz		
ойр.		ойротська		Oirat	xal	xal
олон.		олонецька		Olonets	olo	olo
ос.	осет.	осетинська		Ossetian	os	os
оск.		оскська		Oscan	osc	osc
памір.		памірська		Pamir		
єніс.-орх.		пам’ятки єнісейсько-орхонської писемності		Orkhon-Yenisey (Old Turkic) inscriptions		otk
пеласг.		пеласгійська		Pelasgian		
перс.	нперс.	перська		Farsi	fa	fa
пізньогр.		пізньогрецька		Late Greek		
пізньолат.	плат.	пізньолатинська		Late Latin		la
пізньосвн.	пізньо-свн.	пізньосередньоверхньонімецька		Late Middle High German		gmh
полаб.		полабська		Polabian	pox	pox
полов.		половецька		Cuman	qwm	qwm
п.		польська		Polish	pl	pl
порт.		португальська		Portuguese	pt	pt
пгерм.	прагерм.	прагерманська		Proto-Germanic		gem-pro
пкельт.	пракельт.	пракельтська		Proto-Celtic		cel-pro
пракрит.	пракритськ.	пракритська		Prakrit		inc-pra
псем.		прасемітська		Proto-Semitic		sem-pro
псл.		праслов’янська		Proto-Slavic		sla-pro
пуг.		праугорська		Proto-Hungarian		
пугр.		праугрійська		Proto-Ugric		urj-ugr-pro
пфін.		прафінська		Proto-Finnic		urj-fin-pro
пров.	прованс.	провансальська		Provençal		frp
прус.		прусська		Old Prussian	prg	prg
псков.		псковська		Pskov		
ранньонвн.	ранньо-нвн.	ранньонововерхньонімецька		Early New High German		gmh
ретором.	ретороманськ.	ретороманська		Rhaeto-Romance		
ром.		романська		Romance		
р.	рос.	російська		Russian	ru	ru
рум.		румунська		Romanian	ro	ro
р.-цсл.		русько-церковнослов’янська		Russian recension of Church Slavonic		cu
саам.		саамська		Sámi		smi-pro
савойськ.		савойська		Savoyard		frp
самод.		самодійська		Samoyedic	syd	syd-pro
сван.		сванська		Svan	sva	sva
сельк.	селькупськ.	селькупська		Selkup	sel	sel-pro
сем.		семітська		Semitic		sem-pro
схв.		сербохорватська		Serbo-Croatian	sh	sh
с.-цсл.	схв.-цсл., цсл.-схв.	сербо-церковнослов’янська		Serbian recension of Church Slavonic		cu
серб.		сербська		Serbian	sr	sh
сангл.		середньоанглійська		Middle English	enm	enm
сболг.		середньоболгарська		Middle Bulgarian		
сбрет.		середньобретонська		Middle Breton		xbm
свн.		середньоверхньнімецька		Middle High German	gmh	gmh
сгр.		середньогрецька		Medieval Greek		grc
сдат.		середньодатська		Middle Danish		
сірл.	середньоірл.	середньоірландська		Middle Irish	mga	mga
скімр.		середньокімрська	середньоваллійська	Middle Welsh	wlm	wlm
слат.		середньолатинська		Medieval Latin		la
снн.		середньонижньонімецька		Middle Low German	gml	gml
снідерл.	сгол.	середньонідерландська		Middle Dutch	dum	dum
сн.		середньонімецька		Middle German		
сперс.	пехл.	середньоперська	пахлеві	Middle Persian	pal	pal
стюрк.		середньотюркська	давньотюркська	Middle Turkic		
сфлам.		середньофламандська		Middle Flemish		
сілез.		силезька		Silesian	szl	szl
сір.	сир.	сирійська		Syriac	syc	syc
сіц.		сицилійська		Sicilian		scn
сканд.		скандинавська		Scandinavian		
скіфо-сарм.		скіфо-сарматська		Scytho-Sarmatian		
скіф.		скіфська		Scythian	xsc	xsc-pro
слц.		словацька		Slovak	sk	sk
слн.		словенська		Slovene	sl	sl
слнц.	каш.-словінц.	словінська		Slovincian		zlw-slv
сл.	слов’ян., слов.	слов’янська		Slavic		sla-pro
смол.		смоленська		Smolensk		
согд.		согдійська		Sogdian	sog	sog
сінд.		староіндійська		Old Hindi		inc-ohi
стсл.		старослов’янська		Old Slavonic		cu
стч.		старочеська		Old Czech		zlw-ocs
східнослов.	східносл.	східнослов’янська		East Slavic		orv
тадж.		таджицька		Tajik	tg	tg
тамб.		тамбовська		Tambov		
там.		тамільська		Tamil	ta	ta
тат.		татарська		Tatar	tt	tt
телеут.	тел.	телеутська		Teleut dialect of Altai language		
тибет.		тибетська		Standard Tibetan	bo	bo
тобольськотат.		тобольська татарська		Tobolsk Tatar		sty
тоск.		тоскський діалект албанської		Tosk dialect of Albanian		sq
тох. А		тохарська А		Tocharian A	xto	xto
тох. В		тохарська В		Tocharian B	txb	txb
тув.		тувинська		Tuvan	tyv	tyv
тунг.	евен., евенк., евенкійськ.	тунгуська	евенкійська	Evenki	evn	evn
тур.		турецька		Turkish	tr	tr
туркм.		туркменська		Turkmen	tk	tk
тюрк.	спільнотюрк.	тюркська		Turkic		trk-pro
убих.		убихська		Ubykh	uby	uby
уг.		угорська		Hungarian	hu	hu
удм.		удмуртська		Udmurt	udm	udm
узб.		узбецька		Uzbek	uz	uz
уйг.		уйгурська		Uyghur	ug	ug
укр.		українська		Ukrainian	uk	uk
умбр.		умбрська		Umbrian	xum	xum
урал.		уральська		Uralic		urj-pro
фарер.		фарерська		Faroese	fo	fo
фінік.		фінікійська		Phoenician	phn	phn
ф.-уг.	фіно-уг., фін.-уг.	фіно-угорська		Finno-Ugric		urj-pro
фін.		фінська		Finnish	fi	fi
флам.		фламандська		Flemish		nl
фрак.		фракійська		Thracian	txh	txh
франк.	дфранк.	франкська	давньофранкська	Frankish	frk	
фр.		французька		French	fr	fr
фриз.		фризька		Frisian		ofs
фріг.		фрігійська		Phrygian	xpg	xpg
фріул.	фріульськ.	фріульська		Friulian	fur	fur
хак.		хакаська		Khakas	kjh	kjh
хам.		хамітська		Hamitic		
хант.		хантийська		Khanty	kca	kca
хет.		хетська		Hittite	hit	hit
хорв.		хорватська		Croatian	hr	sh
цсл.		церковнослов’янська		Church Slavonic		cu
циг.		циганська		Romani	rom	rom
чаг.	джаг.	чагатайська	джагатайська	Chagatai	chg	chg
чак.		чакавська		Chakavian		
чан.	лазьк.	чанська	лазька	Laz	lzz	lzz
ч.		чеська		Czech	cs	cs
чув.		чуваська		Chuvash	cv	cv
шваб.		швабська німецька		Swabian German	swg	swg
шв.	швед.	шведська		Swedish	sv	sv
швейц.-нім.	швейц., швейцарськ.	швейцарська німецька		Swiss-German		gsw
шор.		шорська		Shor	cja	cjs
шотл.	гаельськ.	шотландська	гельська	Scots	sco	sco
шумер.	шумерськ.	шумерська		Sumerian	sux	sux
юкагир.		юкагирська		Yukaghir		qfa-yuk-pro
яванськ.		яванська		Javanese	jv	jv
ягнобськ.		ягнобська		Yaghnobi	yai	yai
як.		якутська		Yakut	sah	sah
яп.		японська		Japanese	ja	ja
ятв.		ятвязька		Sudovian	xsv	xsv
